登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
17,在架,,2001/12/1 0:00,お母ちゃんの住まい誕生,,宇津崎光代,ウインかもがわ,2001/6/1,4-87699-603-2,218,20,1600,527-ｵ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
24,在架,,2002/1/25 0:00,情熱,,フィリップ・トルシエ,,2001/12/25,,220,20,1400,783-ﾌｼﾞ,図書,寄贈,1400,図書室,図書室,,一般貸出,岡崎先生より寄贈,1,
31,在架,,2001/12/1 0:00,マグル式〈ハリー・ポッター〉魔法の読み解き方,,藤城真澄,日本文芸社,2001/10/1,4-537-25067-4,236,18,950,933.7-ﾏﾛ,図書,購入,950,図書室,図書室,,一般貸出,,2,
48,除籍,,2001/12/1 0:00,空が落ちる 上　1,1,シドニィ・シェルダン,アカデミー出版,2001/9/1,4-900430-97-8,302,20,1200,933.7-ｼｿ-1,図書,購入,1200,廃棄,廃棄,,一般貸出,,0,
55,在架,,2001/12/1 0:00,海岸林が消える？！,ノンフィクション・ワールド,近田文弘,大日本図書,2000/11/1,4-477-01155-5,189,20,1350,653-ｺｶ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
62,除籍,,2001/12/1 0:00,旅涯ての地 上　1,角川文庫　1,坂東真砂子,角川書店,2001/6/1,4-04-193206-8,414,15,571,913.6-ﾊﾞﾀ-1,図書,購入,571,文庫スタンド,文庫スタンド,,一般貸出,,0,
79,除籍,,2001/12/1 0:00,旅涯ての地 下　2,角川文庫　2,坂東真砂子,角川書店,2001/6/1,4-04-193207-6,415,15,571,913.6-ﾊﾞﾀ-2,図書,購入,571,文庫スタンド,文庫スタンド,,一般貸出,,0,
86,除籍,,2001/12/1 0:00,冬空に舞う鳥　17,３年Ｂ組金八先生　17,小山内美江子,高文研,2000/3/1,4-87498-235-2,237,19,1000,913.6-ｵﾌ-17,図書,購入,1000,図書室,図書室,,一般貸出,,0,
277142,在架,,2022/8/8 0:00,C++の絵本　第2版,,アンク　著,翔泳社,2017.4,978-4-7981-5190-8,201p,23cm,1780円,007.64-ア,図書,購入,1762,図書室,図書室,,一般貸出,,0,
277143,貸出中,親,2022/8/8 0:00,Visual Studio Code実践入門!,,飛松清　著,リックテレコム,2022.4,978-4-86594-334-4,271p,24cm,2500円,007.64-ト,図書,購入,2475,図書室,図書室,,一般貸出,,1,
277144,貸出中,親,2022/8/8 0:00,Visual Studio Code完全入門,,リブロワークス　著,インプレス,2022.3,978-4-295-01345-7,271p,21cm,2400円,007.64-リ,図書,購入,2376,図書室,図書室,,一般貸出,,1,
277145,在架,,2022/8/8 0:00,「PICマイコン」ではじめる電子工作,I/O BOOKS,神田民太郎　著,工学社,2019.12,978-4-7775-2096-1,127p,26cm,2000円,549-カ,図書,購入,1980,図書室,図書室,,一般貸出,,0,
277146,在架,,2022/8/8 0:00,これ1冊でできる!Arduinoではじめる電子工作超入門　改訂第4版,,福田和宏　著,ソーテック社,2020.5,978-4-8007-1267-7,255p,24cm,2750円,548.22-フ,図書,購入,2722,図書室,図書室,,一般貸出,,0,
277147,在架,,2022/8/8 0:00,クジラの骨と僕らの未来,世界をカエル10代からの羅針盤,中村玄　著,理論社,2021.7,978-4-652-20436-8,189p,19cm,1300円,289.1-ナ,図書,購入,1287,図書室,図書室,,一般貸出,,0,
277172,在架,,2022/8/8 0:00,ドローン・ビジネスと法規制　第2版,,森・濱田松本法律事務所AI・IoTプラクティスグループ　編,清文社,2022.1,978-4-433-77251-2,338p,21cm,3200円,687.1-モ,図書,購入,3168,図書室,図書室,,一般貸出,,0,
277173,在架,,2022/8/8 0:00,ドローン飛行許可の取得・維持管理の基礎がよくわかる本,,佐々木慎太郎　著,セルバ出版,2021.7,978-4-86367-675-6,159p,19cm,1500円,687.1-サ,図書,購入,1485,図書室,図書室,,一般貸出,,0,
277174,在架,,2022/8/8 0:00,マンガでわかるドローン = The Manga Guide to Drone,,名倉真悟　著,オーム社,2019.12,978-4-274-22478-2,200p,24cm,2200円,538.6-ナ,図書,購入,2178,図書室,図書室,,一般貸出,,0,
277175,在架,,2022/8/8 0:00,その扉をたたく音,,瀬尾まいこ　著,集英社,2021.2,978-4-08-771741-9,211p,19cm,1400円,913.6-セ,図書,購入,1386,図書室,図書室,,一般貸出,,0,
277176,在架,,2022/8/8 0:00,建築家になりたい君へ,14歳の世渡り術,隈研吾　著,河出書房新社,2021.2,978-4-309-61729-9,223p,19cm,1400円,520-ク,図書,購入,1386,図書室,図書室,,一般貸出,,0,
277177,在架,子,2022/8/19 0:00,解きたくなる数学,,佐藤雅彦　著,岩波書店,2021.9,978-4-00-006339-5,133p,24cm,1800円,410-サ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277178,貸出中,,2022/8/19 0:00,世界のAI戦略,,マルチメディア振興センター　編,明石書店,2020.3,978-4-7503-5000-4,245p,21cm,3500円,007.13-マ,図書,寄贈,0,図書室,図書室,,一般貸出,,1,
93,除籍,,2001/12/1 0:00,壊れた学級　15,３年Ｂ組金八先生　15,小山内美江子,高文研,1999/11/1,4-87498-228-X,221,19,1000,913.6-ｵｺ-15,図書,購入,1000,図書室,図書室,,一般貸出,,0,
109,除籍,,2001/12/1 0:00,道は遠くとも　14,３年Ｂ組金八先生　14,小山内美江子,高文研,1998/4/1,4-87498-204-2,187,19,952,913.6-ｵﾐ-14,図書,購入,952,図書室,図書室,,一般貸出,,0,
116,除籍,,2001/12/1 0:00,空が落ちる 下　2,2,シドニィ・シェルダン,アカデミー出版,2001/9/1,4-900430-98-6,323,20,1200,933.7-ｼｿ-2,図書,購入,1200,廃棄,廃棄,,一般貸出,,0,
123,除籍,,2001/12/1 0:00,Ｇｏ,,金城一紀,講談社,2000/3/1,4-06-210054-1,241,20,1400,913.6-ｶｺﾞ,図書,購入,1400,図書室,図書室,,一般貸出,本文は日本語,0,
130,除籍,,2002/12/1 0:00,春を呼ぶ声　13,３年Ｂ組金八先生　13,小山内美江子,高文研,1996/3/1,4-87498-174-7,217,19,971,913.6-ｵﾊ-13,図書,購入,971,図書室,図書室,,一般貸出,,0,
147,除籍,,2001/12/1 0:00,僕は逃げない　12,３年Ｂ組金八先生　12,小山内美江子,高文研,1996/2/1,4-87498-173-9,261,19,1165,913.6-ｵﾎﾞ-12,図書,購入,1165,図書室,図書室,,一般貸出,,0,
154,在架,,2001/12/1 0:00,さびしい天使　9,３年Ｂ組金八先生　9,小山内美江子,高文研,1988/12/1,4-87498-100-3,245,19,800,913.6-ｵｻ-9,図書,購入,800,図書室,図書室,,一般貸出,,0,
161,在架,,2001/12/1 0:00,三国志 １０　10,希望コミックス　10,横山光輝,潮出版社,1990/1/1,4-267-90110-4,212,18,369,726.1-ﾖｻ-10,図書,寄贈,369,図書室,図書室,,一般貸出,,0,
178,在架,,2001/12/1 0:00,人権読本,,鎌田慧,岩波書店,2001/11/20,4-00-500386-9,216,18,740,80-ｶｼﾞ,図書,購入,740,岩波ジュニア新書,岩波ジュニア新書,,一般貸出,,0,
277179,在架,,2022/8/19 0:00,ヒップホップ・ラップの授業づくり,,磯田三津子　著,明石書店,2021.11,978-4-7503-5289-3,158p,21cm,2000円,375.76-イ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277180,在架,,2022/8/19 0:00,環境年表　第7冊(2021-2022),理科年表シリーズ,国立天文台　編,丸善出版,2021.11,978-4-621-30656-7,521p,21cm,3000円,519.03-コ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277181,在架,,2022/8/19 0:00,いじめ・自殺はなぜなくならないのか,,児玉勇二　著,明石書店,2022.3,978-4-7503-5346-3,219p,19cm,2400円,371.42-コ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277182,在架,,2022/8/19 0:00,SDGs時代の学びづくり,,平野沙和　著,明石書店,2021.12,978-4-7503-5309-8,236p,21cm,2000円,375-イ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277183,在架,,2022/8/19 0:00,プログラミング道への招待,,竹内郁雄　著,丸善出版,2017.1,978-4-621-30133-3,242p,19cm,1800円,007.6-タ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277184,在架,,2022/8/19 0:00,ICTことば辞典 = A Dictionary of Information & Communications Technology,,大谷和利　著,三省堂,2015.7,978-4-385-13737-7,286p,21cm,2000円,007.3-オ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277185,在架,,2022/8/19 0:00,アフター・コロナの学校の条件,,中村文夫　著,岩波書店,2021.7,978-4-00-061449-8,204p,19cm,2500円,373.1-ナ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277186,在架,,2022/8/19 0:00,18歳成人社会ハンドブック,,田中治彦　編著,明石書店,2018.3,978-4-7503-4621-2,197p,21cm,2500円,324.11-タ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277187,在架,,2022/8/19 0:00,部活動の社会学 = SOCIOLOGY OF BUKATSUDO,,加藤一晃　著,岩波書店,2021.7,978-4-00-061479-5,210p,20cm,2400円,375.18-ウ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
